PartidosCoalicion,Millenials,GenX,Boomers,Silenciosa,GenZ,Total
MC,105,129,49.0,1.0,16.0,300.0
PES,103,124,62.0,0.0,10.0,299.0
RSP,108,128,50.0,0.0,12.0,298.0
FUERZA POR MÉXICO,98,143,39.0,0.0,12.0,292.0
PAN-PRI-PRD,64,97,54.0,1.0,3.0,219.0
MORENA-PT-PVEM,51,74,54.0,1.0,3.0,183.0
MORENA,35,49,33.0,0.0,0.0,117.0
PT,39,50,27.0,0.0,1.0,117.0
PVEM,45,46,20.0,0.0,6.0,117.0
PAN,20,41,18.0,0.0,2.0,81.0
PRD,34,29,15.0,1.0,2.0,81.0
PRI,20,38,21.0,0.0,2.0,81.0
CANDIDATURA INDEPENDIENTE,2,1,0.0,0.0,0.0,3.0
